"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2018-05-29,"wow pointing  fan base     call women  science     suppo  opinion  rather suppo  work ",0,3,39,0,0,0,0,0,0,0,1,0,0
2018-05-29," rapid advancements  ai  need   proactive   regulation according ",4,9,13,0,0,0,0,0,0,1,0,0,0
2018-05-29,"dont blame    saying  things many  already thinking accept responsibility   actions",0,1,32,1,0,1,0,0,0,0,0,1,0
2018-05-29,"suppo  suppo defamation",2,1,80,0,0,1,1,0,0,0,0,1,0
2018-05-30,"true  one  perfect",18,12,497,0,1,0,0,1,0,0,1,0,1
2018-05-30,"thank ",7,13,117,0,0,0,0,0,0,0,0,0,0
2018-05-30," wonder    brick  car  nonpayment   lease",7,1,40,0,0,0,0,0,0,0,0,0,0
2018-05-30,"youre  welcome   come   regard",25,22,641,0,0,0,0,0,0,0,0,0,0
2018-05-30,"tesla will always refute aicles   misleadingpoint     someone   pattern    many fit  description  consumer repos  always fairaccurate   criticism",83,314,6300,1,0,0,0,0,1,0,0,1,0
2018-05-30,"good ",39,92,1400,0,1,0,0,1,0,1,1,0,1
2017-10-06,"tesla always charges   price   powerwall  taxesshipping costs vary  something  messed   ive asked  team  stop shipment   installers charging excessive premiums",43,159,1200,0,0,0,0,0,0,0,1,0,0
2018-05-30,"judging   number  likes  retweets many people like  idea since",1,7,17,0,0,0,0,0,0,0,0,0,0
2018-05-30,"",3,16,36,0,0,0,0,0,0,0,0,0,0
2018-05-30," love ",4,5,15,0,0,0,0,1,0,0,0,0,1
2018-05-30,"actually  dont think  understand   word autopilot means autopilot   = autonomous driving    ever meant   aircrafts autopilot   designed  replace pilots just assist   controlling aircraft  similar  tesla autopilot",6,21,323,0,0,0,0,0,0,0,2,0,2
2018-05-30," thats one big advantage ",1,9,252,0,0,0,0,0,0,0,0,0,1
2018-05-30,"history   made significant braking distance improvement via ota software update 

thrilled   fast turnaround   model 3 owner nice chatting     nyias two months ago jake 

good work results  ",4,5,38,0,1,0,0,2,0,1,2,0,3
2018-05-30," 

   improvement  userexperience   leading indicator   ",1,11,40,0,0,0,0,1,0,0,2,0,1
2018-05-30,"hey",1,6,4,0,0,0,0,0,0,0,0,0,0
2018-05-31,"",4,28,109,0,0,0,0,0,0,0,0,0,0
2018-05-31," remember  couple years ago  elon said   speech    got  model x  steady production hethe team  kinda belatedly realized   waayyy overdesigned beyond  people    satisfied withlol  literally built  good   suv",0,5,69,0,2,0,0,2,0,2,3,0,5
